Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.126,2.69,0.435,2.324,1.934,1.304,0.849
TREFHT land_60S90N CRU,DegC,12.612,12.828,-0.216,13.686,13.049,1.78,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.855,0.93,-0.075,53.451,55.964,8.362,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.683,-45.305,0.623,19.604,20.083,9.292,0.891
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.999,25.814,-2.815,10.653,10.955,6.935,0.828
U-850mb global ERA-Interim,m s-1,0.919,1.097,-0.178,5.32,5.4,0.988,0.985
U-200mb global ERA-Interim,m s-1,17.177,15.687,1.49,12.562,12.316,3.091,0.976
Z3-500mb global ERA-Interim,hectometer,56.591,56.618,-0.027,2.518,2.575,0.176,0.998
PSL global ERA-Interim,mbar,1011.963,1011.302,0.662,8.046,8.142,2.139,0.968
PSL global ERA5,mbar,1011.963,1011.389,0.574,8.046,8.067,2.225,0.964
U-850mb global ERA5,m s-1,0.919,1.082,-0.163,5.32,5.414,1.028,0.983
U-200mb global ERA5,m s-1,17.177,15.654,1.523,12.562,12.247,3.079,0.977
Z3-500mb global ERA5,hectometer,56.591,56.608,-0.017,2.518,2.566,0.169,0.998
TREFHT land ERA-Interim,DegC,8.219,8.768,-0.548,19.185,18.715,2.145,0.995
TREFHT global ERA-Interim,DegC,14.259,14.411,-0.152,14.583,14.114,1.674,0.994
TREFHT land ERA5,DegC,8.219,8.857,-0.638,19.185,18.907,2.368,0.993
TREFHT global ERA5,DegC,14.259,14.267,-0.008,14.583,14.111,1.804,0.993
