Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.179,2.715,0.464,2.915,2.517,1.814,0.801
TREFHT land_60S90N CRU,DegC,19.471,19.674,-0.203,9.085,8.142,2.112,0.975
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-6.943,-7.501,0.558,85.897,86.648,11.218,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.532,-43.225,0.692,27.319,29.741,13.498,0.892
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.544,25.667,-2.123,14.234,14.264,8.69,0.825
U-850mb global ERA-Interim,m s-1,1.027,1.139,-0.112,5.733,5.817,1.403,0.972
U-200mb global ERA-Interim,m s-1,15.353,12.972,2.38,14.406,16.055,5.103,0.962
Z3-500mb global ERA-Interim,hectometer,56.834,56.89,-0.056,2.535,2.614,0.223,0.997
PSL global ERA-Interim,mbar,1011.719,1011.175,0.545,8.504,8.533,2.695,0.952
PSL global ERA5,mbar,1011.719,1011.255,0.464,8.504,8.477,2.73,0.95
U-850mb global ERA5,m s-1,1.027,1.147,-0.119,5.733,5.844,1.458,0.97
U-200mb global ERA5,m s-1,15.353,12.915,2.437,14.406,15.989,5.138,0.961
Z3-500mb global ERA5,hectometer,56.834,56.885,-0.051,2.535,2.605,0.216,0.997
TREFHT land ERA-Interim,DegC,13.452,14.2,-0.748,21.013,20.441,2.611,0.994
TREFHT global ERA-Interim,DegC,15.915,16.115,-0.2,14.652,14.298,1.968,0.991
TREFHT land ERA5,DegC,13.452,14.378,-0.926,21.013,20.152,2.915,0.992
TREFHT global ERA5,DegC,15.915,16.006,-0.092,14.652,14.177,2.062,0.99
