Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.212,2.69,0.521,2.445,1.934,1.338,0.867
TREFHT land_60S90N CRU,DegC,14.041,12.758,1.283,12.415,13.066,2.364,0.989
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.299,0.919,-0.621,52.224,55.952,11.929,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.776,-45.307,2.531,18.612,20.092,11.691,0.829
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.759,25.81,-0.05,11.698,10.953,5.208,0.896
U-850mb global ERA-Interim,m s-1,0.868,1.097,-0.229,5.764,5.399,1.067,0.985
U-200mb global ERA-Interim,m s-1,16.738,15.687,1.052,12.256,12.315,2.751,0.979
Z3-500mb global ERA-Interim,hectometer,56.867,56.618,0.249,2.552,2.575,0.276,0.999
PSL global ERA-Interim,mbar,1011.799,1011.302,0.497,8.597,8.143,1.932,0.977
PSL global ERA5,mbar,1011.799,1011.389,0.41,8.597,8.065,2.082,0.972
U-850mb global ERA5,m s-1,0.868,1.081,-0.213,5.764,5.409,1.082,0.984
U-200mb global ERA5,m s-1,16.738,15.655,1.084,12.256,12.246,2.717,0.979
Z3-500mb global ERA5,hectometer,56.867,56.608,0.259,2.552,2.566,0.285,0.999
TREFHT land ERA-Interim,DegC,9.726,8.886,0.84,18.18,18.646,2.271,0.993
TREFHT global ERA-Interim,DegC,15.106,14.41,0.696,14.138,14.115,1.66,0.994
TREFHT land ERA5,DegC,9.726,8.853,0.873,18.18,18.854,2.612,0.992
TREFHT global ERA5,DegC,15.106,14.267,0.839,14.138,14.106,1.875,0.993
