Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.195,2.699,0.495,3.336,2.369,1.898,0.847
TREFHT land_60S90N CRU,DegC,6.646,5.125,1.521,18.806,20.099,3.587,0.987
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.019,7.94,0.08,96.208,95.891,16.069,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.08,-49.218,4.138,30.752,36.85,16.877,0.898
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.229,25.833,-0.604,15.879,14.261,7.461,0.884
U-850mb global ERA-Interim,m s-1,0.643,1.068,-0.424,6.394,5.797,1.473,0.978
U-200mb global ERA-Interim,m s-1,17.872,16.981,0.891,15.707,14.763,3.473,0.978
Z3-500mb global ERA-Interim,hectometer,56.657,56.403,0.254,2.687,2.696,0.3,0.998
PSL global ERA-Interim,mbar,1012.039,1011.443,0.596,9.39,8.713,2.039,0.98
PSL global ERA5,mbar,1012.039,1011.54,0.499,9.39,8.594,2.212,0.975
U-850mb global ERA5,m s-1,0.643,1.045,-0.402,6.394,5.825,1.468,0.978
U-200mb global ERA5,m s-1,17.872,16.976,0.896,15.707,14.671,3.378,0.979
Z3-500mb global ERA5,hectometer,56.657,56.387,0.27,2.687,2.687,0.313,0.998
TREFHT land ERA-Interim,DegC,4.073,3.231,0.841,19.785,20.064,2.813,0.991
TREFHT global ERA-Interim,DegC,13.351,12.67,0.681,16.055,15.889,2.034,0.993
TREFHT land ERA5,DegC,4.073,3.092,0.98,19.785,20.485,3.096,0.99
TREFHT global ERA5,DegC,13.351,12.492,0.859,16.055,15.937,2.244,0.992
