Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.286,2.715,0.571,3.069,2.517,1.775,0.837
TREFHT land_60S90N CRU,DegC,20.845,19.598,1.247,8.424,8.157,2.38,0.971
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-9.061,-7.516,-1.545,85.985,86.641,14.408,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-41.901,-43.234,1.333,29.895,29.769,15.424,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.864,25.659,0.205,15.363,14.267,7.073,0.889
U-850mb global ERA-Interim,m s-1,1.018,1.139,-0.122,6.094,5.815,1.408,0.974
U-200mb global ERA-Interim,m s-1,13.929,12.972,0.957,15.421,16.055,4.107,0.969
Z3-500mb global ERA-Interim,hectometer,57.134,56.89,0.243,2.58,2.614,0.312,0.997
PSL global ERA-Interim,mbar,1011.575,1011.175,0.4,8.8,8.533,2.581,0.957
PSL global ERA5,mbar,1011.575,1011.256,0.32,8.8,8.476,2.627,0.955
U-850mb global ERA5,m s-1,1.018,1.146,-0.128,6.094,5.839,1.468,0.971
U-200mb global ERA5,m s-1,13.929,12.915,1.014,15.421,15.989,4.154,0.968
Z3-500mb global ERA5,hectometer,57.134,56.885,0.249,2.58,2.605,0.316,0.997
TREFHT land ERA-Interim,DegC,15.202,14.288,0.914,19.645,20.283,2.571,0.993
TREFHT global ERA-Interim,DegC,16.8,16.114,0.686,14.254,14.296,1.921,0.992
TREFHT land ERA5,DegC,15.202,14.366,0.836,19.645,20.084,2.803,0.991
TREFHT global ERA5,DegC,16.8,16.006,0.794,14.254,14.171,2.045,0.991
