Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.188,2.664,0.525,2.784,2.066,1.821,0.78
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.254,1.439,-1.185,68.004,71.962,13.802,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-41.067,-42.476,1.409,21.015,21.84,13.267,0.811
LWCF global ceres_ebaf_toa_v4.1,W m-2,26.075,26.073,0.002,12.961,11.611,8.035,0.792
U-850mb global ERA-Interim,m s-1,0.815,1.009,-0.194,5.891,5.418,1.37,0.975
U-200mb global ERA-Interim,m s-1,17.531,17.09,0.441,12.671,12.063,3.242,0.967
Z3-500mb global ERA-Interim,hectometer,56.841,56.582,0.259,2.588,2.612,0.298,0.998
PSL global ERA-Interim,mbar,1011.786,1011.337,0.449,8.922,8.029,2.405,0.967
PSL global ERA5,mbar,1011.786,1011.414,0.372,8.922,7.989,2.544,0.962
U-850mb global ERA5,m s-1,0.815,0.98,-0.165,5.891,5.444,1.358,0.975
U-200mb global ERA5,m s-1,17.531,17.06,0.472,12.671,11.996,3.24,0.968
Z3-500mb global ERA5,hectometer,56.841,56.572,0.269,2.588,2.604,0.306,0.998
TREFHT land ERA-Interim,DegC,9.49,8.598,0.892,19.41,20.206,2.498,0.993
TREFHT global ERA-Interim,DegC,15.109,14.365,0.744,14.824,15.023,1.856,0.994
TREFHT land ERA5,DegC,9.49,8.643,0.847,19.41,20.215,2.771,0.992
TREFHT global ERA5,DegC,15.109,14.242,0.867,14.824,14.91,2.042,0.992
