Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.177,2.685,0.493,2.976,2.214,1.727,0.836
RESTOM global ceres_ebaf_toa_v4.1,W m-2,2.15,1.978,0.172,72.166,73.665,14.17,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.102,-46.397,3.295,23.228,25.689,14.382,0.841
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.859,25.672,0.187,13.103,12.207,6.343,0.877
U-850mb global ERA-Interim,m s-1,1.001,1.173,-0.172,6.012,5.601,1.297,0.978
U-200mb global ERA-Interim,m s-1,17.652,15.732,1.92,12.816,13.147,4.14,0.96
Z3-500mb global ERA-Interim,hectometer,56.833,56.594,0.239,2.69,2.691,0.288,0.998
PSL global ERA-Interim,mbar,1011.799,1011.255,0.544,9.341,8.893,2.056,0.978
PSL global ERA5,mbar,1011.799,1011.349,0.45,9.341,8.785,2.202,0.974
U-850mb global ERA5,m s-1,1.001,1.152,-0.15,6.012,5.58,1.338,0.976
U-200mb global ERA5,m s-1,17.652,15.697,1.955,12.816,13.063,4.104,0.961
Z3-500mb global ERA5,hectometer,56.833,56.582,0.25,2.69,2.678,0.299,0.998
TREFHT land ERA-Interim,DegC,10.034,9.31,0.725,18.433,18.852,2.544,0.991
TREFHT global ERA-Interim,DegC,15.13,14.455,0.674,14.227,14.166,1.784,0.993
TREFHT land ERA5,DegC,10.034,9.19,0.844,18.433,19.145,2.902,0.99
TREFHT global ERA5,DegC,15.13,14.289,0.841,14.227,14.198,2.009,0.992
