Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.9,2.69,0.209,2.359,1.934,1.381,0.815
TREFHT land_60S90N CRU,DegC,13.821,12.883,0.938,12.473,13.1,2.272,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.426,-45.309,0.884,20.546,20.241,10.567,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.794,25.813,-3.019,9.674,11.0,6.894,0.828
U-850mb global ERA-Interim,m s-1,1.175,1.097,0.078,5.38,5.4,0.964,0.984
U-200mb global ERA-Interim,m s-1,16.409,15.687,0.723,12.144,12.316,1.873,0.99
Z3-500mb global ERA-Interim,hectometer,56.711,56.618,0.092,2.602,2.575,0.156,0.999
PSL global ERA-Interim,mbar,1011.169,1011.302,-0.132,8.565,8.142,1.546,0.984
PSL global ERA5,mbar,1011.169,1011.389,-0.22,8.565,8.066,1.687,0.982
U-850mb global ERA5,m s-1,1.175,1.081,0.094,5.38,5.41,0.978,0.984
U-200mb global ERA5,m s-1,16.409,15.655,0.755,12.144,12.246,1.914,0.99
Z3-500mb global ERA5,hectometer,56.711,56.608,0.103,2.602,2.566,0.164,0.999
TREFHT land ERA-Interim,DegC,9.412,8.793,0.619,18.796,18.713,1.623,0.997
TREFHT global ERA-Interim,DegC,14.64,14.412,0.228,14.326,14.113,1.195,0.997
TREFHT land ERA5,DegC,9.412,8.836,0.576,18.796,18.898,1.829,0.996
TREFHT global ERA5,DegC,14.64,14.266,0.374,14.326,14.107,1.335,0.996
