Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.895,2.699,0.195,3.029,2.369,1.702,0.831
TREFHT land_60S90N CRU,DegC,6.037,5.46,0.577,18.532,20.005,3.2,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.193,-49.227,1.034,38.525,36.987,13.064,0.941
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.22,25.835,-3.614,12.836,14.322,8.128,0.862
U-850mb global ERA-Interim,m s-1,1.09,1.068,0.022,5.804,5.797,1.244,0.977
U-200mb global ERA-Interim,m s-1,17.753,16.982,0.771,15.02,14.763,2.415,0.988
Z3-500mb global ERA-Interim,hectometer,56.473,56.403,0.07,2.691,2.695,0.178,0.998
PSL global ERA-Interim,mbar,1011.544,1011.442,0.102,8.883,8.711,1.565,0.984
PSL global ERA5,mbar,1011.544,1011.54,0.004,8.883,8.594,1.685,0.982
U-850mb global ERA5,m s-1,1.09,1.046,0.044,5.804,5.827,1.273,0.976
U-200mb global ERA5,m s-1,17.753,16.976,0.777,15.02,14.67,2.383,0.989
Z3-500mb global ERA5,hectometer,56.473,56.387,0.086,2.691,2.687,0.185,0.998
TREFHT land ERA-Interim,DegC,3.629,3.128,0.501,19.782,20.046,2.309,0.993
TREFHT global ERA-Interim,DegC,12.846,12.672,0.174,15.885,15.885,1.542,0.995
TREFHT land ERA5,DegC,3.629,3.057,0.572,19.782,20.515,2.236,0.995
TREFHT global ERA5,DegC,12.846,12.491,0.355,15.885,15.939,1.563,0.995
