Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.955,2.715,0.24,3.018,2.517,1.86,0.793
TREFHT land_60S90N CRU,DegC,21.017,19.563,1.454,8.707,8.254,2.723,0.963
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.896,-43.231,-0.665,33.859,29.958,16.338,0.876
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.007,25.664,-2.658,13.48,14.323,8.464,0.835
U-850mb global ERA-Interim,m s-1,1.201,1.139,0.061,5.718,5.816,1.405,0.971
U-200mb global ERA-Interim,m s-1,13.789,12.972,0.817,16.213,16.055,3.138,0.982
Z3-500mb global ERA-Interim,hectometer,57.003,56.891,0.113,2.659,2.614,0.24,0.997
PSL global ERA-Interim,mbar,1010.81,1011.175,-0.365,8.837,8.533,2.242,0.968
PSL global ERA5,mbar,1010.81,1011.256,-0.446,8.837,8.476,2.298,0.967
U-850mb global ERA5,m s-1,1.201,1.146,0.054,5.718,5.84,1.423,0.97
U-200mb global ERA5,m s-1,13.789,12.915,0.874,16.213,15.989,3.244,0.981
Z3-500mb global ERA5,hectometer,57.003,56.885,0.119,2.659,2.605,0.246,0.997
TREFHT land ERA-Interim,DegC,15.082,14.206,0.876,20.45,20.432,2.069,0.996
TREFHT global ERA-Interim,DegC,16.367,16.115,0.252,14.669,14.296,1.507,0.995
TREFHT land ERA5,DegC,15.082,14.361,0.721,20.45,20.145,2.302,0.994
TREFHT global ERA5,DegC,16.367,16.007,0.36,14.669,14.172,1.645,0.994
