Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.887,2.664,0.224,2.512,2.066,1.71,0.742
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.38,-42.479,0.1,22.162,22.041,12.863,0.831
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.392,26.074,-2.683,10.325,11.668,8.304,0.751
U-850mb global ERA-Interim,m s-1,1.132,1.009,0.123,5.512,5.418,1.142,0.979
U-200mb global ERA-Interim,m s-1,17.582,17.09,0.492,12.309,12.063,2.601,0.978
Z3-500mb global ERA-Interim,hectometer,56.661,56.582,0.08,2.643,2.612,0.155,0.999
PSL global ERA-Interim,mbar,1011.195,1011.337,-0.142,8.602,8.029,1.817,0.979
PSL global ERA5,mbar,1011.195,1011.414,-0.219,8.602,7.99,1.935,0.976
U-850mb global ERA5,m s-1,1.132,0.981,0.151,5.512,5.445,1.192,0.977
U-200mb global ERA5,m s-1,17.582,17.06,0.523,12.309,11.996,2.63,0.978
Z3-500mb global ERA5,hectometer,56.661,56.572,0.089,2.643,2.604,0.162,0.999
TREFHT land ERA-Interim,DegC,9.015,8.507,0.508,20.26,20.278,1.78,0.996
TREFHT global ERA-Interim,DegC,14.61,14.366,0.244,15.126,15.022,1.296,0.996
TREFHT land ERA5,DegC,9.015,8.634,0.381,20.26,20.258,1.941,0.996
TREFHT global ERA5,DegC,14.61,14.242,0.368,15.126,14.912,1.41,0.996
