Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.862,2.685,0.177,2.763,2.214,1.496,0.844
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.295,-46.398,3.103,25.33,25.823,12.742,0.883
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.542,25.676,-3.134,11.058,12.27,7.411,0.839
U-850mb global ERA-Interim,m s-1,1.279,1.173,0.106,5.831,5.602,1.094,0.983
U-200mb global ERA-Interim,m s-1,16.541,15.732,0.809,13.336,13.147,2.404,0.985
Z3-500mb global ERA-Interim,hectometer,56.699,56.594,0.106,2.777,2.691,0.196,0.999
PSL global ERA-Interim,mbar,1011.135,1011.255,-0.12,9.78,8.892,1.937,0.983
PSL global ERA5,mbar,1011.135,1011.349,-0.214,9.78,8.786,2.092,0.981
U-850mb global ERA5,m s-1,1.279,1.153,0.126,5.831,5.581,1.108,0.982
U-200mb global ERA5,m s-1,16.541,15.697,0.844,13.336,13.063,2.49,0.984
Z3-500mb global ERA5,hectometer,56.699,56.583,0.117,2.777,2.678,0.209,0.999
TREFHT land ERA-Interim,DegC,9.817,9.214,0.603,19.232,18.923,1.85,0.996
TREFHT global ERA-Interim,DegC,14.703,14.456,0.247,14.457,14.164,1.392,0.996
TREFHT land ERA5,DegC,9.817,9.17,0.646,19.232,19.193,2.017,0.995
TREFHT global ERA5,DegC,14.703,14.288,0.416,14.457,14.199,1.514,0.995
