Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.821,2.69,0.13,2.216,1.934,1.562,0.726
TREFHT land_60S90N CRU,DegC,12.719,12.847,-0.128,12.333,13.018,2.198,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.549,-45.32,-2.229,21.25,20.085,12.63,0.821
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.016,25.809,-1.793,10.241,10.951,7.847,0.742
U-850mb global ERA-Interim,m s-1,1.032,1.098,-0.066,5.568,5.398,1.415,0.967
U-200mb global ERA-Interim,m s-1,15.461,15.687,-0.226,11.891,12.316,3.227,0.965
Z3-500mb global ERA-Interim,hectometer,56.438,56.618,-0.18,2.522,2.575,0.243,0.998
PSL global ERA-Interim,mbar,1011.142,1011.302,-0.16,8.581,8.142,1.761,0.979
PSL global ERA5,mbar,1011.142,1011.388,-0.246,8.581,8.066,1.863,0.977
U-850mb global ERA5,m s-1,1.032,1.083,-0.051,5.568,5.409,1.415,0.967
U-200mb global ERA5,m s-1,15.461,15.654,-0.193,11.891,12.246,3.245,0.964
Z3-500mb global ERA5,hectometer,56.438,56.608,-0.17,2.522,2.566,0.233,0.998
TREFHT land ERA-Interim,DegC,8.285,8.851,-0.566,18.533,18.709,2.117,0.994
TREFHT global ERA-Interim,DegC,13.871,14.412,-0.541,13.972,14.112,1.6,0.994
TREFHT land ERA5,DegC,8.285,8.82,-0.535,18.533,18.879,2.409,0.992
TREFHT global ERA5,DegC,13.871,14.27,-0.399,13.972,14.101,1.673,0.993
