Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.815,2.699,0.116,2.902,2.369,1.974,0.738
TREFHT land_60S90N CRU,DegC,4.874,5.217,-0.342,18.622,20.045,3.178,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.086,-49.233,-1.852,39.643,36.855,15.262,0.924
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.222,25.829,-2.607,13.963,14.261,9.038,0.812
U-850mb global ERA-Interim,m s-1,0.885,1.069,-0.183,5.964,5.797,1.745,0.957
U-200mb global ERA-Interim,m s-1,16.73,16.982,-0.251,14.994,14.763,3.965,0.965
Z3-500mb global ERA-Interim,hectometer,56.157,56.403,-0.246,2.598,2.695,0.352,0.996
PSL global ERA-Interim,mbar,1011.042,1011.443,-0.401,8.798,8.712,1.997,0.975
PSL global ERA5,mbar,1011.042,1011.54,-0.498,8.798,8.595,2.061,0.974
U-850mb global ERA5,m s-1,0.885,1.047,-0.162,5.964,5.827,1.753,0.956
U-200mb global ERA5,m s-1,16.73,16.976,-0.245,14.994,14.67,3.907,0.966
Z3-500mb global ERA5,hectometer,56.157,56.387,-0.23,2.598,2.687,0.336,0.996
TREFHT land ERA-Interim,DegC,2.23,3.204,-0.975,19.792,20.076,2.847,0.992
TREFHT global ERA-Interim,DegC,11.964,12.672,-0.709,15.818,15.883,2.001,0.993
TREFHT land ERA5,DegC,2.23,3.057,-0.827,19.792,20.497,2.832,0.992
TREFHT global ERA5,DegC,11.964,12.494,-0.531,15.818,15.933,1.987,0.993
