Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.879,2.715,0.164,2.897,2.517,1.955,0.75
TREFHT land_60S90N CRU,DegC,19.907,19.676,0.231,8.417,8.118,2.569,0.952
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.305,-43.25,-4.055,34.941,29.761,19.038,0.847
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.416,25.662,-1.246,14.668,14.259,9.481,0.789
U-850mb global ERA-Interim,m s-1,1.068,1.14,-0.072,6.019,5.815,1.829,0.953
U-200mb global ERA-Interim,m s-1,12.543,12.973,-0.43,16.121,16.055,4.198,0.966
Z3-500mb global ERA-Interim,hectometer,56.744,56.891,-0.147,2.604,2.614,0.261,0.997
PSL global ERA-Interim,mbar,1010.922,1011.175,-0.253,9.247,8.533,2.504,0.964
PSL global ERA5,mbar,1010.922,1011.254,-0.333,9.247,8.476,2.557,0.963
U-850mb global ERA5,m s-1,1.068,1.148,-0.08,6.019,5.84,1.859,0.951
U-200mb global ERA5,m s-1,12.543,12.915,-0.372,16.121,15.988,4.23,0.966
Z3-500mb global ERA5,hectometer,56.744,56.885,-0.141,2.604,2.605,0.26,0.996
TREFHT land ERA-Interim,DegC,14.127,14.243,-0.116,20.177,20.399,2.38,0.993
TREFHT global ERA-Interim,DegC,15.7,16.115,-0.415,14.176,14.294,1.785,0.993
TREFHT land ERA5,DegC,14.127,14.335,-0.209,20.177,20.132,2.763,0.991
TREFHT global ERA5,DegC,15.7,16.011,-0.31,14.176,14.167,1.895,0.991
