Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.796,2.664,0.132,2.338,2.066,1.871,0.647
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.851,-42.487,-2.364,22.976,21.832,14.035,0.811
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.487,26.071,-1.584,10.939,11.609,9.427,0.662
U-850mb global ERA-Interim,m s-1,1.013,1.01,0.004,5.632,5.417,1.588,0.959
U-200mb global ERA-Interim,m s-1,16.824,17.09,-0.266,11.596,12.063,3.756,0.951
Z3-500mb global ERA-Interim,hectometer,56.399,56.582,-0.182,2.552,2.612,0.263,0.998
PSL global ERA-Interim,mbar,1011.336,1011.337,-0.001,8.468,8.029,1.914,0.974
PSL global ERA5,mbar,1011.336,1011.413,-0.077,8.468,7.99,1.993,0.972
U-850mb global ERA5,m s-1,1.013,0.982,0.031,5.632,5.444,1.623,0.958
U-200mb global ERA5,m s-1,16.824,17.059,-0.235,11.596,11.996,3.76,0.95
Z3-500mb global ERA5,hectometer,56.399,56.572,-0.173,2.552,2.604,0.253,0.998
TREFHT land ERA-Interim,DegC,7.92,8.569,-0.649,19.88,20.272,2.418,0.994
TREFHT global ERA-Interim,DegC,13.86,14.367,-0.507,14.722,15.019,1.814,0.993
TREFHT land ERA5,DegC,7.92,8.613,-0.693,19.88,20.239,2.722,0.992
TREFHT global ERA5,DegC,13.86,14.245,-0.385,14.722,14.904,1.884,0.992
