Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.793,2.685,0.108,2.715,2.214,1.721,0.776
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.016,-46.405,-0.61,26.333,25.686,15.129,0.831
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.922,25.672,-1.75,12.108,12.204,8.557,0.763
U-850mb global ERA-Interim,m s-1,1.159,1.173,-0.015,6.077,5.6,1.615,0.965
U-200mb global ERA-Interim,m s-1,15.775,15.732,0.042,13.14,13.147,3.902,0.956
Z3-500mb global ERA-Interim,hectometer,56.447,56.594,-0.147,2.701,2.691,0.224,0.998
PSL global ERA-Interim,mbar,1011.269,1011.255,0.013,9.789,8.892,2.176,0.977
PSL global ERA5,mbar,1011.269,1011.348,-0.08,9.789,8.786,2.294,0.975
U-850mb global ERA5,m s-1,1.159,1.154,0.004,6.077,5.581,1.614,0.965
U-200mb global ERA5,m s-1,15.775,15.697,0.078,13.14,13.063,3.982,0.954
Z3-500mb global ERA5,hectometer,56.447,56.583,-0.136,2.701,2.678,0.219,0.998
TREFHT land ERA-Interim,DegC,8.751,9.269,-0.518,18.981,18.92,2.261,0.994
TREFHT global ERA-Interim,DegC,13.923,14.457,-0.534,14.136,14.163,1.689,0.994
TREFHT land ERA5,DegC,8.751,9.152,-0.401,18.981,19.174,2.472,0.992
TREFHT global ERA5,DegC,13.923,14.291,-0.368,14.136,14.193,1.74,0.993
