Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.949,2.69,0.258,2.234,1.934,1.303,0.822
TREFHT land_60S90N CRU,DegC,12.938,12.817,0.121,13.468,13.066,1.753,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.92,0.923,-0.002,56.77,55.957,10.054,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.692,-45.308,-4.384,21.464,20.092,11.819,0.862
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.894,25.812,0.083,10.389,10.953,6.07,0.84
PSL global ERA-Interim,mbar,1010.509,1011.302,-0.793,9.825,8.143,2.698,0.976
PSL global ERA5,mbar,1010.509,1011.389,-0.88,9.825,8.066,2.871,0.972
TREFHT land ERA-Interim,DegC,8.688,8.88,-0.192,18.77,18.688,1.956,0.995
TREFHT global ERA-Interim,DegC,15.275,14.411,0.864,14.681,14.115,2.078,0.992
TREFHT land ERA5,DegC,8.688,8.856,-0.168,18.77,18.89,2.263,0.993
TREFHT global ERA5,DegC,15.275,14.267,1.008,14.681,14.11,2.254,0.991
