Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.967,2.699,0.268,3.035,2.369,1.723,0.83
TREFHT land_60S90N CRU,DegC,5.364,5.174,0.19,19.806,20.085,2.78,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.345,7.946,-0.601,95.032,95.89,13.086,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-53.579,-49.227,-4.352,42.37,36.855,15.723,0.937
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.103,25.832,-0.729,13.697,14.26,7.535,0.857
PSL global ERA-Interim,mbar,1010.741,1011.443,-0.702,9.686,8.712,2.181,0.98
PSL global ERA5,mbar,1010.741,1011.54,-0.799,9.686,8.594,2.373,0.977
TREFHT land ERA-Interim,DegC,2.999,3.172,-0.173,20.433,20.097,2.431,0.993
TREFHT global ERA-Interim,DegC,13.516,12.67,0.846,16.825,15.888,2.461,0.992
TREFHT land ERA5,DegC,2.999,3.089,-0.09,20.433,20.516,2.719,0.991
TREFHT global ERA5,DegC,13.516,12.492,1.024,16.825,15.942,2.664,0.99
