Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.917,2.685,0.232,2.645,2.214,1.552,0.815
RESTOM global ceres_ebaf_toa_v4.1,W m-2,4.014,1.979,2.036,73.174,73.674,11.946,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.705,-46.399,-3.305,27.108,25.685,13.72,0.874
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.949,25.678,0.271,11.769,12.207,7.156,0.823
PSL global ERA-Interim,mbar,1010.443,1011.255,-0.812,10.667,8.892,2.875,0.977
PSL global ERA5,mbar,1010.443,1011.348,-0.906,10.667,8.786,3.066,0.973
TREFHT land ERA-Interim,DegC,9.148,9.305,-0.157,18.969,18.892,2.082,0.994
TREFHT global ERA-Interim,DegC,15.309,14.455,0.854,14.698,14.166,2.075,0.992
TREFHT land ERA5,DegC,9.148,9.192,-0.044,18.969,19.185,2.405,0.992
TREFHT global ERA5,DegC,15.309,14.289,1.02,14.698,14.202,2.26,0.991
