Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.775,2.686,0.088,2.068,1.887,1.227,0.812
TREFHT land_60S90N CRU,DegC,13.304,12.812,0.491,13.471,13.079,2.283,0.986
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.127,0.933,0.194,55.004,55.966,10.772,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-54.875,-45.301,-9.574,21.83,20.051,15.445,0.836
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.069,25.814,3.256,10.837,10.954,7.156,0.829
U-850mb global ERA-Interim,m s-1,1.061,1.096,-0.034,6.016,5.401,1.597,0.967
U-200mb global ERA-Interim,m s-1,16.447,15.686,0.762,12.059,12.316,3.059,0.971
Z3-500mb global ERA-Interim,hectometer,56.712,56.618,0.095,2.695,2.575,0.231,0.998
PSL global ERA-Interim,mbar,1011.171,1011.301,-0.13,9.279,8.141,2.067,0.98
PSL global ERA5,mbar,1011.171,1011.387,-0.216,9.279,8.063,2.219,0.977
U-850mb global ERA5,m s-1,1.061,1.076,-0.015,6.016,5.414,1.598,0.966
U-200mb global ERA5,m s-1,16.447,15.654,0.793,12.059,12.247,3.026,0.971
Z3-500mb global ERA5,hectometer,56.712,56.607,0.105,2.695,2.566,0.238,0.998
TREFHT land ERA-Interim,DegC,8.838,8.909,-0.071,19.278,18.748,2.648,0.991
TREFHT global ERA-Interim,DegC,15.23,14.415,0.814,15.009,14.115,2.528,0.988
TREFHT land ERA5,DegC,8.838,9.001,-0.163,19.278,18.874,3.011,0.988
TREFHT global ERA5,DegC,15.23,14.272,0.957,15.009,14.108,2.717,0.987
