Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.793,2.696,0.097,2.871,2.316,1.646,0.82
TREFHT land_60S90N CRU,DegC,5.56,5.153,0.408,20.197,20.069,3.012,0.989
RESTOM global ceres_ebaf_toa_v4.1,W m-2,6.536,7.963,-1.428,92.347,95.908,15.305,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-59.002,-49.217,-9.786,44.012,36.83,20.195,0.92
LWCF global ceres_ebaf_toa_v4.1,W m-2,27.914,25.829,2.085,14.234,14.257,8.545,0.831
U-850mb global ERA-Interim,m s-1,0.952,1.067,-0.115,6.413,5.799,1.95,0.954
U-200mb global ERA-Interim,m s-1,16.986,16.98,0.006,15.313,14.763,4.655,0.953
Z3-500mb global ERA-Interim,hectometer,56.488,56.402,0.086,2.796,2.696,0.263,0.997
PSL global ERA-Interim,mbar,1011.414,1011.443,-0.029,9.746,8.712,2.45,0.971
PSL global ERA5,mbar,1011.414,1011.541,-0.127,9.746,8.593,2.572,0.969
U-850mb global ERA5,m s-1,0.952,1.044,-0.092,6.413,5.829,1.969,0.953
U-200mb global ERA5,m s-1,16.986,16.975,0.011,15.313,14.671,4.643,0.953
Z3-500mb global ERA5,hectometer,56.488,56.386,0.102,2.796,2.688,0.269,0.997
TREFHT land ERA-Interim,DegC,3.095,3.254,-0.159,20.911,20.087,3.043,0.99
TREFHT global ERA-Interim,DegC,13.409,12.672,0.737,17.242,15.886,2.995,0.988
TREFHT land ERA5,DegC,3.095,3.245,-0.151,20.911,20.456,3.419,0.987
TREFHT global ERA5,DegC,13.409,12.495,0.914,17.242,15.923,3.23,0.986
