Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.807,2.708,0.099,2.686,2.431,1.542,0.824
TREFHT land_60S90N CRU,DegC,20.383,19.682,0.702,8.892,8.169,2.588,0.961
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.209,-7.508,0.3,82.435,86.633,16.384,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-53.129,-43.238,-9.891,37.945,29.722,20.788,0.882
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.446,25.668,3.779,14.274,14.268,8.377,0.863
U-850mb global ERA-Interim,m s-1,1.231,1.137,0.095,6.551,5.818,1.836,0.963
U-200mb global ERA-Interim,m s-1,14.975,12.971,2.003,14.493,16.055,3.643,0.985
Z3-500mb global ERA-Interim,hectometer,57.006,56.89,0.116,2.75,2.614,0.267,0.997
PSL global ERA-Interim,mbar,1010.988,1011.172,-0.184,9.859,8.534,2.442,0.975
PSL global ERA5,mbar,1010.988,1011.251,-0.263,9.859,8.478,2.554,0.973
U-850mb global ERA5,m s-1,1.231,1.138,0.093,6.551,5.844,1.863,0.961
U-200mb global ERA5,m s-1,14.975,12.915,2.06,14.493,15.989,3.647,0.985
Z3-500mb global ERA5,hectometer,57.006,56.884,0.122,2.75,2.606,0.272,0.997
TREFHT land ERA-Interim,DegC,14.43,14.308,0.121,20.797,20.451,2.941,0.99
TREFHT global ERA-Interim,DegC,17.01,16.122,0.887,14.83,14.302,2.831,0.984
TREFHT land ERA5,DegC,14.43,14.486,-0.056,20.797,20.151,3.313,0.987
TREFHT global ERA5,DegC,17.01,16.013,0.997,14.83,14.192,2.956,0.983
