Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.748,2.69,0.057,2.009,1.934,1.395,0.751
TREFHT land_60S90N CRU,DegC,12.095,12.817,-0.721,12.898,13.066,1.871,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.046,-45.308,0.262,20.45,20.092,11.995,0.825
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.876,25.812,-1.936,9.655,10.953,6.043,0.853
PSL global ERA-Interim,mbar,1011.242,1011.302,-0.059,8.229,8.143,1.254,0.988
PSL global ERA5,mbar,1011.242,1011.389,-0.146,8.229,8.066,1.357,0.986
TREFHT land ERA-Interim,DegC,8.185,8.88,-0.695,17.592,18.688,2.307,0.994
TREFHT global ERA-Interim,DegC,14.44,14.411,0.029,14.007,14.115,1.967,0.99
TREFHT land ERA5,DegC,8.185,8.856,-0.671,17.592,18.89,2.591,0.993
TREFHT global ERA5,DegC,14.44,14.267,0.173,14.007,14.11,2.086,0.989
