Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.729,2.699,0.03,2.632,2.369,1.721,0.768
TREFHT land_60S90N CRU,DegC,4.354,5.174,-0.821,20.207,20.085,3.081,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.234,-49.227,-2.007,42.202,36.855,17.471,0.912
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.768,25.832,-3.065,13.818,14.26,8.562,0.838
PSL global ERA-Interim,mbar,1011.467,1011.443,0.024,8.473,8.712,1.649,0.982
PSL global ERA5,mbar,1011.467,1011.54,-0.073,8.473,8.594,1.779,0.978
TREFHT land ERA-Interim,DegC,2.944,3.172,-0.227,19.831,20.097,4.183,0.978
TREFHT global ERA-Interim,DegC,12.845,12.67,0.176,16.586,15.888,2.988,0.984
TREFHT land ERA5,DegC,2.944,3.089,-0.145,19.831,20.516,4.86,0.972
TREFHT global ERA5,DegC,12.845,12.492,0.354,16.586,15.942,3.357,0.98
