Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.811,2.715,0.096,2.788,2.517,1.974,0.728
TREFHT land_60S90N CRU,DegC,18.907,19.664,-0.757,8.582,8.157,1.964,0.976
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.722,-43.232,-0.491,33.809,29.759,17.219,0.861
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.643,25.664,-1.021,13.981,14.267,7.839,0.849
PSL global ERA-Interim,mbar,1010.979,1011.175,-0.196,8.662,8.533,2.179,0.968
PSL global ERA5,mbar,1010.979,1011.255,-0.276,8.662,8.476,2.219,0.967
TREFHT land ERA-Interim,DegC,13.195,14.329,-1.134,19.956,20.324,2.182,0.996
TREFHT global ERA-Interim,DegC,15.916,16.115,-0.198,14.129,14.297,1.996,0.99
TREFHT land ERA5,DegC,13.195,14.369,-1.174,19.956,20.125,2.478,0.994
TREFHT global ERA5,DegC,15.916,16.007,-0.09,14.129,14.174,2.035,0.99
