Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.789,2.69,0.098,2.117,1.934,1.423,0.758
TREFHT land_60S90N CRU,DegC,13.367,12.855,0.512,13.196,13.018,2.098,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-56.515,-45.307,-11.208,24.762,20.089,19.711,0.758
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.572,25.811,-2.24,14.046,10.954,10.43,0.694
PSL global ERA-Interim,mbar,1010.566,1011.302,-0.736,7.814,8.142,2.406,0.96
PSL global ERA5,mbar,1010.566,1011.39,-0.824,7.814,8.066,2.429,0.959
TREFHT land ERA-Interim,DegC,9.062,8.818,0.244,18.671,18.7,1.929,0.995
TREFHT global ERA-Interim,DegC,14.455,14.41,0.045,14.094,14.115,1.668,0.993
TREFHT land ERA5,DegC,9.062,8.784,0.277,18.671,18.884,2.061,0.994
TREFHT global ERA5,DegC,14.455,14.264,0.191,14.094,14.107,1.736,0.993
