Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.772,2.699,0.072,2.468,2.369,1.69,0.757
TREFHT land_60S90N CRU,DegC,4.376,5.248,-0.871,20.807,20.039,3.174,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-58.921,-49.22,-9.702,40.702,36.849,21.896,0.877
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.613,25.83,-3.218,17.209,14.256,11.92,0.749
PSL global ERA-Interim,mbar,1010.616,1011.443,-0.827,7.006,8.712,3.446,0.932
PSL global ERA5,mbar,1010.616,1011.542,-0.927,7.006,8.596,3.465,0.928
TREFHT land ERA-Interim,DegC,2.793,3.121,-0.328,20.511,20.101,4.064,0.981
TREFHT global ERA-Interim,DegC,12.385,12.67,-0.285,16.541,15.886,2.992,0.984
TREFHT land ERA5,DegC,2.793,2.998,-0.205,20.511,20.488,4.616,0.975
TREFHT global ERA5,DegC,12.385,12.488,-0.103,16.541,15.939,3.276,0.98
