Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.809,2.715,0.094,2.664,2.517,1.771,0.768
TREFHT land_60S90N CRU,DegC,21.548,19.663,1.885,8.684,8.122,3.361,0.948
SWCF global ceres_ebaf_toa_v4.1,W m-2,-55.461,-43.231,-12.231,36.117,29.75,23.668,0.828
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.655,25.665,-1.01,18.953,14.269,12.492,0.754
PSL global ERA-Interim,mbar,1010.507,1011.175,-0.668,9.007,8.533,2.799,0.953
PSL global ERA5,mbar,1010.507,1011.257,-0.749,9.007,8.476,2.825,0.953
TREFHT land ERA-Interim,DegC,15.183,14.255,0.928,21.86,20.362,3.236,0.993
TREFHT global ERA-Interim,DegC,16.401,16.113,0.288,14.94,14.298,2.158,0.99
TREFHT land ERA5,DegC,15.183,14.322,0.861,21.86,20.146,3.414,0.991
TREFHT global ERA5,DegC,16.401,16.005,0.396,14.94,14.173,2.29,0.989
