Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.948,2.699,0.249,2.691,2.312,1.417,0.855
TREFHT land_60S90N CRU,DegC,7.161,5.239,1.921,18.132,20.043,3.9,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.337,7.94,-0.603,96.499,95.87,12.295,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.672,-49.243,-2.429,39.187,36.865,15.201,0.924
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.45,25.839,-4.389,14.356,14.268,7.998,0.891
PSL global ERA-Interim,mbar,1011.763,1011.442,0.321,9.843,8.711,2.3,0.977
PSL global ERA5,mbar,1011.763,1011.537,0.226,9.843,8.594,2.353,0.977
TREFHT land ERA-Interim,DegC,4.358,3.174,1.184,19.577,20.034,2.984,0.99
TREFHT global ERA-Interim,DegC,13.118,12.676,0.443,15.532,15.888,1.949,0.993
TREFHT land ERA5,DegC,4.358,3.051,1.306,19.577,20.5,3.134,0.991
TREFHT global ERA5,DegC,13.118,12.503,0.615,15.532,15.941,2.038,0.993
