Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.919,2.663,0.257,2.376,2.01,1.45,0.801
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.613,1.451,0.162,71.509,71.967,10.189,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.135,-42.497,-2.639,24.219,21.842,13.564,0.838
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.277,26.08,-3.802,11.998,11.61,8.453,0.796
PSL global ERA-Interim,mbar,1011.567,1011.336,0.231,8.985,8.028,2.113,0.976
PSL global ERA5,mbar,1011.567,1011.408,0.158,8.985,7.988,2.198,0.973
TREFHT land ERA-Interim,DegC,8.787,8.614,0.173,20.832,20.213,2.37,0.994
TREFHT global ERA-Interim,DegC,14.52,14.373,0.147,15.154,15.018,1.733,0.993
TREFHT land ERA5,DegC,8.787,8.601,0.186,20.832,20.258,2.784,0.991
TREFHT global ERA5,DegC,14.52,14.255,0.264,15.154,14.912,1.871,0.993
