Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.9,2.686,0.214,2.633,2.152,1.261,0.884
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.67,1.978,-0.309,71.17,73.654,10.703,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.897,-46.415,-2.482,28.309,25.691,13.183,0.889
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.806,25.678,-3.872,12.357,12.21,7.086,0.883
PSL global ERA-Interim,mbar,1011.478,1011.255,0.224,10.779,8.892,2.59,0.984
PSL global ERA5,mbar,1011.478,1011.344,0.134,10.779,8.785,2.731,0.982
TREFHT land ERA-Interim,DegC,9.981,9.322,0.659,19.548,18.862,2.664,0.992
TREFHT global ERA-Interim,DegC,14.753,14.463,0.29,14.292,14.16,1.823,0.992
TREFHT land ERA5,DegC,9.981,9.147,0.834,19.548,19.192,2.939,0.989
TREFHT global ERA5,DegC,14.753,14.301,0.451,14.292,14.201,1.932,0.991
