Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.938,2.691,0.248,2.112,1.885,1.13,0.854
TREFHT land_60S90N CRU,DegC,14.115,12.847,1.267,12.468,13.041,2.263,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.551,0.924,-0.373,54.666,55.951,9.362,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.097,-45.323,-2.774,21.703,20.094,11.298,0.865
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.579,25.817,-3.238,10.834,10.953,5.96,0.895
PSL global ERA-Interim,mbar,1011.573,1011.301,0.273,9.427,8.142,1.882,0.988
PSL global ERA5,mbar,1011.573,1011.384,0.189,9.427,8.064,1.997,0.986
TREFHT land ERA-Interim,DegC,9.35,8.896,0.454,19.238,18.655,2.095,0.995
TREFHT global ERA-Interim,DegC,14.734,14.418,0.316,14.274,14.109,1.542,0.994
TREFHT land ERA5,DegC,9.35,8.81,0.54,19.238,18.897,2.448,0.992
TREFHT global ERA5,DegC,14.734,14.28,0.454,14.274,14.108,1.68,0.994
