Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.944,2.699,0.244,2.766,2.312,1.509,0.843
TREFHT land_60S90N CRU,DegC,7.195,5.239,1.955,18.19,20.043,3.716,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.113,7.94,-0.826,97.901,95.87,12.913,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.408,-49.243,-2.165,38.892,36.865,15.891,0.915
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.122,25.839,-3.717,14.921,14.268,7.957,0.885
PSL global ERA-Interim,mbar,1011.778,1011.442,0.336,9.766,8.711,1.994,0.984
PSL global ERA5,mbar,1011.778,1011.537,0.241,9.766,8.594,2.034,0.984
TREFHT land ERA-Interim,DegC,4.425,3.174,1.252,19.57,20.034,2.828,0.991
TREFHT global ERA-Interim,DegC,13.265,12.676,0.589,15.476,15.888,1.9,0.994
TREFHT land ERA5,DegC,4.425,3.051,1.374,19.57,20.5,3.03,0.992
TREFHT global ERA5,DegC,13.265,12.503,0.762,15.476,15.941,1.992,0.994
