Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.908,2.663,0.245,2.426,2.01,1.629,0.752
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.452,1.451,0.001,71.017,71.967,10.592,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.619,-42.497,-2.122,24.075,21.842,14.253,0.816
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.717,26.08,-3.363,12.641,11.61,9.132,0.758
PSL global ERA-Interim,mbar,1011.583,1011.336,0.247,9.043,8.028,2.063,0.978
PSL global ERA5,mbar,1011.583,1011.408,0.174,9.043,7.988,2.146,0.976
TREFHT land ERA-Interim,DegC,8.856,8.614,0.242,20.747,20.213,2.367,0.994
TREFHT global ERA-Interim,DegC,14.619,14.373,0.246,15.13,15.018,1.725,0.994
TREFHT land ERA5,DegC,8.856,8.601,0.255,20.747,20.258,2.787,0.991
TREFHT global ERA5,DegC,14.619,14.255,0.364,15.13,14.912,1.873,0.993
