Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.893,2.686,0.207,2.648,2.152,1.371,0.86
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.989,1.978,0.01,71.84,73.654,11.37,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.256,-46.415,-1.841,28.082,25.691,13.549,0.879
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.418,25.678,-3.26,12.815,12.21,6.85,0.885
PSL global ERA-Interim,mbar,1011.507,1011.255,0.252,10.539,8.892,2.231,0.988
PSL global ERA5,mbar,1011.507,1011.344,0.163,10.539,8.785,2.373,0.986
TREFHT land ERA-Interim,DegC,10.039,9.322,0.717,19.501,18.862,2.496,0.993
TREFHT global ERA-Interim,DegC,14.867,14.463,0.404,14.26,14.16,1.75,0.993
TREFHT land ERA5,DegC,10.039,9.147,0.892,19.501,19.192,2.805,0.991
TREFHT global ERA5,DegC,14.867,14.301,0.565,14.26,14.201,1.874,0.992
