Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.914,2.69,0.224,2.219,1.934,0.962,0.907
TREFHT land_60S90N CRU,DegC,14.182,12.759,1.423,12.701,13.078,2.067,0.993
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.673,0.926,-0.253,56.533,55.961,8.247,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.347,-45.306,-4.042,23.318,20.091,10.419,0.913
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.649,25.808,-1.16,12.359,10.952,4.586,0.935
PSL global ERA-Interim,mbar,1011.32,1011.302,0.018,9.674,8.142,2.035,0.989
PSL global ERA5,mbar,1011.32,1011.391,-0.07,9.674,8.067,2.17,0.986
TREFHT land ERA-Interim,DegC,9.535,8.849,0.686,19.144,18.694,1.643,0.997
TREFHT global ERA-Interim,DegC,14.571,14.411,0.16,14.352,14.114,1.257,0.996
TREFHT land ERA5,DegC,9.535,8.838,0.697,19.144,18.894,1.889,0.996
TREFHT global ERA5,DegC,14.571,14.265,0.305,14.352,14.11,1.394,0.996
