Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.005,2.715,0.29,2.96,2.517,1.429,0.882
TREFHT land_60S90N CRU,DegC,20.605,19.633,0.972,8.99,8.163,2.19,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.458,-7.508,-0.951,89.569,86.649,13.011,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.242,-43.228,-6.015,33.8,29.75,14.983,0.915
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.179,25.662,-0.482,16.519,14.264,6.521,0.921
PSL global ERA-Interim,mbar,1011.2,1011.176,0.024,10.351,8.533,2.527,0.983
PSL global ERA5,mbar,1011.2,1011.258,-0.058,10.351,8.476,2.622,0.981
TREFHT land ERA-Interim,DegC,14.584,14.276,0.309,20.893,20.364,2.149,0.995
TREFHT global ERA-Interim,DegC,16.126,16.114,0.012,14.839,14.296,1.625,0.994
TREFHT land ERA5,DegC,14.584,14.355,0.229,20.893,20.143,2.426,0.994
TREFHT global ERA5,DegC,16.126,16.005,0.121,14.839,14.176,1.775,0.994
