Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.868,2.685,0.184,2.681,2.214,1.195,0.901
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.75,1.982,-0.232,72.708,73.674,10.106,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.578,-46.392,-3.186,29.926,25.682,13.193,0.905
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.292,25.67,-1.378,14.225,12.205,5.825,0.92
PSL global ERA-Interim,mbar,1011.256,1011.256,-0.0,10.777,8.892,2.422,0.988
PSL global ERA5,mbar,1011.256,1011.351,-0.095,10.777,8.787,2.582,0.986
TREFHT land ERA-Interim,DegC,10.273,9.27,1.004,19.446,18.902,2.271,0.995
TREFHT global ERA-Interim,DegC,14.731,14.455,0.276,14.363,14.165,1.528,0.995
TREFHT land ERA5,DegC,10.273,9.175,1.098,19.446,19.187,2.465,0.993
TREFHT global ERA5,DegC,14.731,14.287,0.444,14.363,14.202,1.641,0.994
