Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.928,2.699,0.228,2.743,2.369,1.252,0.894
TREFHT land_60S90N CRU,DegC,7.113,5.096,2.017,18.443,20.093,3.489,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.174,7.947,-0.772,96.732,95.889,11.067,0.993
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.84,-49.226,-2.614,40.843,36.864,13.386,0.948
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.153,25.831,-2.678,15.748,14.26,6.957,0.913
PSL global ERA-Interim,mbar,1011.52,1011.443,0.077,9.903,8.712,1.974,0.986
PSL global ERA5,mbar,1011.52,1011.542,-0.022,9.903,8.595,2.099,0.984
TREFHT land ERA-Interim,DegC,4.44,3.164,1.276,19.656,20.074,2.387,0.994
TREFHT global ERA-Interim,DegC,13.141,12.67,0.47,15.57,15.887,1.584,0.996
TREFHT land ERA5,DegC,4.44,3.07,1.37,19.656,20.505,2.533,0.995
TREFHT global ERA5,DegC,13.141,12.49,0.651,15.57,15.941,1.691,0.995
