Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.891,2.685,0.206,2.671,2.214,1.212,0.897
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.339,1.982,-0.643,72.104,73.674,10.087,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.705,-46.392,-2.314,29.351,25.682,12.306,0.912
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.328,25.67,-2.342,13.643,12.205,5.894,0.918
PSL global ERA-Interim,mbar,1011.249,1011.256,-0.006,10.936,8.892,2.597,0.987
PSL global ERA5,mbar,1011.249,1011.351,-0.101,10.936,8.787,2.761,0.984
TREFHT land ERA-Interim,DegC,10.359,9.27,1.089,19.424,18.902,2.329,0.994
TREFHT global ERA-Interim,DegC,14.855,14.455,0.4,14.301,14.165,1.611,0.994
TREFHT land ERA5,DegC,10.359,9.175,1.184,19.424,19.187,2.525,0.993
TREFHT global ERA5,DegC,14.855,14.287,0.568,14.301,14.202,1.722,0.994
