Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,0.003,2.69,-2.687,0.002,1.934,3.31,0.892
TREFHT land_60S90N CRU,DegC,14.565,12.759,1.806,12.537,13.078,2.428,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.249,0.926,0.323,49.458,55.961,11.28,0.985
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.585,-45.306,0.721,20.68,20.091,10.845,0.86
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.851,25.808,-4.957,9.862,10.952,6.564,0.92
U-850mb global ERA-Interim,m s-1,1.119,1.098,0.021,5.621,5.399,0.987,0.985
U-200mb global ERA-Interim,m s-1,16.959,15.687,1.272,11.709,12.316,2.702,0.982
Z3-500mb global ERA-Interim,hectometer,57.061,56.618,0.443,2.552,2.575,0.471,0.998
PSL global ERA-Interim,mbar,1011.52,1011.302,0.218,8.854,8.142,1.42,0.99
PSL global ERA5,mbar,1011.52,1011.39,0.13,8.854,8.067,1.533,0.988
U-850mb global ERA5,m s-1,1.119,1.082,0.037,5.621,5.411,0.982,0.985
U-200mb global ERA5,m s-1,16.959,15.655,1.305,11.709,12.247,2.669,0.982
Z3-500mb global ERA5,hectometer,57.061,56.608,0.454,2.552,2.566,0.481,0.998
TREFHT land ERA-Interim,DegC,9.998,8.849,1.149,18.851,18.694,1.775,0.997
TREFHT global ERA-Interim,DegC,15.349,14.411,0.938,13.887,14.114,1.563,0.996
TREFHT land ERA5,DegC,9.998,8.838,1.16,18.851,18.894,2.191,0.995
TREFHT global ERA5,DegC,15.349,14.265,1.083,13.887,14.11,1.732,0.995
