Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,0.003,2.699,-2.696,0.003,2.369,3.588,0.869
TREFHT land_60S90N CRU,DegC,6.416,5.096,1.32,19.519,20.093,2.685,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.64,7.947,0.693,94.411,95.889,15.72,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.825,-49.226,1.401,35.379,36.864,13.831,0.928
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.201,25.831,-5.63,13.594,14.26,8.372,0.902
U-850mb global ERA-Interim,m s-1,1.102,1.068,0.034,6.144,5.797,1.395,0.974
U-200mb global ERA-Interim,m s-1,17.608,16.981,0.627,15.053,14.763,3.141,0.979
Z3-500mb global ERA-Interim,hectometer,56.812,56.403,0.41,2.672,2.696,0.451,0.998
PSL global ERA-Interim,mbar,1011.699,1011.442,0.256,9.511,8.712,1.789,0.985
PSL global ERA5,mbar,1011.699,1011.541,0.158,9.511,8.595,1.939,0.982
U-850mb global ERA5,m s-1,1.102,1.047,0.055,6.144,5.828,1.368,0.975
U-200mb global ERA5,m s-1,17.608,16.976,0.632,15.053,14.671,3.105,0.979
Z3-500mb global ERA5,hectometer,56.812,56.387,0.426,2.672,2.687,0.466,0.998
TREFHT land ERA-Interim,DegC,3.791,3.164,0.626,20.501,20.074,2.097,0.995
TREFHT global ERA-Interim,DegC,13.444,12.67,0.773,15.762,15.887,1.8,0.995
TREFHT land ERA5,DegC,3.791,3.07,0.721,20.501,20.505,2.329,0.994
TREFHT global ERA5,DegC,13.444,12.49,0.954,15.762,15.941,1.885,0.995
