Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,0.003,2.715,-2.712,0.003,2.517,3.698,0.873
TREFHT land_60S90N CRU,DegC,21.977,19.633,2.343,8.163,8.163,3.11,0.971
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-6.922,-7.508,0.585,85.726,86.649,16.582,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.987,-43.227,0.241,27.033,29.75,14.905,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.329,25.662,-4.333,13.363,14.264,8.03,0.882
U-850mb global ERA-Interim,m s-1,1.07,1.14,-0.07,6.147,5.816,1.434,0.973
U-200mb global ERA-Interim,m s-1,14.755,12.972,1.783,15.908,16.055,3.803,0.978
Z3-500mb global ERA-Interim,hectometer,57.389,56.891,0.498,2.636,2.614,0.548,0.996
PSL global ERA-Interim,mbar,1011.39,1011.175,0.214,9.187,8.533,1.893,0.98
PSL global ERA5,mbar,1011.39,1011.257,0.133,9.187,8.476,1.939,0.979
U-850mb global ERA5,m s-1,1.07,1.147,-0.077,6.147,5.842,1.453,0.972
U-200mb global ERA5,m s-1,14.755,12.915,1.84,15.908,15.989,3.87,0.977
Z3-500mb global ERA5,hectometer,57.389,56.885,0.504,2.636,2.605,0.555,0.996
TREFHT land ERA-Interim,DegC,16.052,14.276,1.777,20.317,20.364,2.475,0.996
TREFHT global ERA-Interim,DegC,17.27,16.114,1.156,14.143,14.296,1.882,0.995
TREFHT land ERA5,DegC,16.052,14.355,1.697,20.317,20.143,2.788,0.994
TREFHT global ERA5,DegC,17.27,16.005,1.265,14.143,14.176,2.079,0.993
