Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,0.003,2.664,-2.661,0.003,2.066,3.367,0.831
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.485,1.448,0.037,68.903,71.973,11.274,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.437,-42.475,0.038,22.338,21.837,12.552,0.839
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.5,26.07,-4.57,11.441,11.609,8.216,0.825
U-850mb global ERA-Interim,m s-1,1.018,1.01,0.008,5.505,5.418,1.076,0.981
U-200mb global ERA-Interim,m s-1,18.667,17.09,1.577,11.197,12.063,3.746,0.96
Z3-500mb global ERA-Interim,hectometer,57.001,56.582,0.42,2.541,2.612,0.449,0.998
PSL global ERA-Interim,mbar,1011.551,1011.337,0.214,8.362,8.029,1.283,0.989
PSL global ERA5,mbar,1011.551,1011.415,0.136,8.362,7.99,1.365,0.987
U-850mb global ERA5,m s-1,1.018,0.981,0.036,5.505,5.447,1.083,0.981
U-200mb global ERA5,m s-1,18.667,17.059,1.608,11.197,11.996,3.717,0.961
Z3-500mb global ERA5,hectometer,57.001,56.572,0.429,2.541,2.604,0.458,0.998
TREFHT land ERA-Interim,DegC,9.478,8.568,0.909,20.209,20.255,1.845,0.997
TREFHT global ERA-Interim,DegC,15.178,14.365,0.813,14.849,15.023,1.598,0.996
TREFHT land ERA5,DegC,9.478,8.631,0.846,20.209,20.252,2.248,0.995
TREFHT global ERA5,DegC,15.178,14.241,0.937,14.849,14.914,1.798,0.995
