Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,0.003,2.685,-2.682,0.003,2.214,3.476,0.888
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.961,1.982,-0.022,68.993,73.674,13.955,0.983
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.167,-46.392,1.224,26.111,25.682,12.883,0.877
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.356,25.67,-5.315,11.411,12.205,7.66,0.893
U-850mb global ERA-Interim,m s-1,1.292,1.173,0.119,5.985,5.601,1.174,0.981
U-200mb global ERA-Interim,m s-1,16.818,15.732,1.086,13.076,13.147,2.847,0.98
Z3-500mb global ERA-Interim,hectometer,57.037,56.594,0.444,2.727,2.691,0.49,0.997
PSL global ERA-Interim,mbar,1011.444,1011.255,0.189,10.123,8.892,1.92,0.988
PSL global ERA5,mbar,1011.444,1011.35,0.094,10.123,8.787,2.066,0.986
U-850mb global ERA5,m s-1,1.292,1.153,0.139,5.985,5.582,1.194,0.981
U-200mb global ERA5,m s-1,16.818,15.697,1.121,13.076,13.063,2.865,0.98
Z3-500mb global ERA5,hectometer,57.037,56.582,0.455,2.727,2.678,0.502,0.997
TREFHT land ERA-Interim,DegC,10.542,9.27,1.272,19.384,18.902,2.13,0.996
TREFHT global ERA-Interim,DegC,15.463,14.455,1.008,13.998,14.165,2.104,0.991
TREFHT land ERA5,DegC,10.542,9.175,1.367,19.384,19.187,2.528,0.994
TREFHT global ERA5,DegC,15.463,14.287,1.176,13.998,14.202,2.239,0.991
