Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.97,2.69,0.28,2.104,1.934,1.265,0.817
TREFHT land_60S90N CRU,DegC,13.673,12.759,0.914,12.591,13.078,1.967,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.372,-45.306,-2.067,20.977,20.091,14.279,0.764
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.299,25.808,-0.51,12.3,10.952,6.595,0.846
U-850mb global ERA-Interim,m s-1,1.07,1.098,-0.028,6.125,5.399,1.614,0.969
U-200mb global ERA-Interim,m s-1,16.356,15.687,0.669,12.823,12.316,2.745,0.978
Z3-500mb global ERA-Interim,hectometer,56.909,56.618,0.291,2.662,2.575,0.344,0.998
PSL global ERA-Interim,mbar,1011.303,1011.302,0.001,9.399,8.142,2.487,0.97
PSL global ERA5,mbar,1011.303,1011.39,-0.087,9.399,8.067,2.611,0.967
U-850mb global ERA5,m s-1,1.07,1.082,-0.012,6.125,5.411,1.616,0.968
U-200mb global ERA5,m s-1,16.356,15.655,0.701,12.823,12.247,2.736,0.979
Z3-500mb global ERA5,hectometer,56.909,56.608,0.301,2.662,2.566,0.355,0.998
TREFHT land ERA-Interim,DegC,9.289,8.849,0.44,18.447,18.694,1.571,0.997
TREFHT global ERA-Interim,DegC,14.999,14.411,0.588,14.243,14.114,1.383,0.996
TREFHT land ERA5,DegC,9.289,8.838,0.451,18.447,18.894,1.88,0.995
TREFHT global ERA5,DegC,14.999,14.265,0.733,14.243,14.11,1.561,0.995
