Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.0,2.699,0.301,2.868,2.369,1.649,0.825
TREFHT land_60S90N CRU,DegC,5.971,5.096,0.875,18.92,20.093,3.176,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.114,-49.226,-0.888,36.301,36.864,19.915,0.852
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.943,25.831,-0.887,17.152,14.26,8.51,0.871
U-850mb global ERA-Interim,m s-1,1.041,1.068,-0.027,6.815,5.797,2.213,0.951
U-200mb global ERA-Interim,m s-1,17.003,16.981,0.022,16.629,14.763,4.391,0.968
Z3-500mb global ERA-Interim,hectometer,56.735,56.403,0.332,2.763,2.696,0.447,0.994
PSL global ERA-Interim,mbar,1011.552,1011.442,0.11,10.126,8.712,3.113,0.956
PSL global ERA5,mbar,1011.552,1011.541,0.012,10.126,8.595,3.236,0.953
U-850mb global ERA5,m s-1,1.041,1.047,-0.005,6.815,5.828,2.216,0.95
U-200mb global ERA5,m s-1,17.003,16.976,0.027,16.629,14.671,4.396,0.968
Z3-500mb global ERA5,hectometer,56.735,56.387,0.348,2.763,2.687,0.462,0.994
TREFHT land ERA-Interim,DegC,3.476,3.164,0.312,19.783,20.074,2.386,0.993
TREFHT global ERA-Interim,DegC,13.347,12.67,0.677,15.933,15.887,1.83,0.994
TREFHT land ERA5,DegC,3.476,3.07,0.406,19.783,20.505,2.546,0.993
TREFHT global ERA5,DegC,13.347,12.49,0.857,15.933,15.941,1.953,0.994
