Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.018,2.715,0.303,2.816,2.517,1.652,0.82
TREFHT land_60S90N CRU,DegC,20.707,19.633,1.074,8.631,8.163,2.214,0.975
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.201,-43.227,-4.973,34.825,29.75,17.228,0.881
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.971,25.662,0.309,16.384,14.264,7.993,0.873
U-850mb global ERA-Interim,m s-1,1.083,1.14,-0.056,6.703,5.816,1.954,0.961
U-200mb global ERA-Interim,m s-1,14.211,12.972,1.239,16.008,16.055,3.404,0.98
Z3-500mb global ERA-Interim,hectometer,57.168,56.891,0.278,2.736,2.614,0.346,0.998
PSL global ERA-Interim,mbar,1011.105,1011.175,-0.07,9.998,8.533,2.465,0.977
PSL global ERA5,mbar,1011.105,1011.257,-0.152,9.998,8.476,2.574,0.975
U-850mb global ERA5,m s-1,1.083,1.147,-0.064,6.703,5.842,1.975,0.96
U-200mb global ERA5,m s-1,14.211,12.915,1.296,16.008,15.989,3.465,0.98
Z3-500mb global ERA5,hectometer,57.168,56.885,0.283,2.736,2.605,0.354,0.998
TREFHT land ERA-Interim,DegC,14.958,14.276,0.682,20.01,20.364,2.004,0.996
TREFHT global ERA-Interim,DegC,16.654,16.114,0.54,14.499,14.296,1.604,0.995
TREFHT land ERA5,DegC,14.958,14.355,0.602,20.01,20.143,2.262,0.994
TREFHT global ERA5,DegC,16.654,16.005,0.649,14.499,14.176,1.752,0.994
