Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.914,2.685,0.229,2.529,2.214,1.511,0.81
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.734,-46.392,-0.342,25.754,25.682,16.707,0.789
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.173,25.67,-0.497,14.413,12.205,8.023,0.832
U-850mb global ERA-Interim,m s-1,1.136,1.173,-0.037,6.402,5.601,1.765,0.966
U-200mb global ERA-Interim,m s-1,16.72,15.732,0.988,13.348,13.147,3.127,0.975
Z3-500mb global ERA-Interim,hectometer,56.856,56.594,0.262,2.787,2.691,0.323,0.998
PSL global ERA-Interim,mbar,1011.236,1011.255,-0.019,10.279,8.892,2.561,0.975
PSL global ERA5,mbar,1011.236,1011.35,-0.114,10.279,8.787,2.707,0.972
U-850mb global ERA5,m s-1,1.136,1.153,-0.017,6.402,5.582,1.798,0.964
U-200mb global ERA5,m s-1,16.72,15.697,1.023,13.348,13.063,3.1,0.976
Z3-500mb global ERA5,hectometer,56.856,56.582,0.273,2.787,2.678,0.336,0.998
TREFHT land ERA-Interim,DegC,9.789,9.27,0.519,18.805,18.902,1.649,0.996
TREFHT global ERA-Interim,DegC,14.989,14.455,0.534,14.348,14.165,1.35,0.996
TREFHT land ERA5,DegC,9.789,9.175,0.614,18.805,19.187,1.981,0.995
TREFHT global ERA5,DegC,14.989,14.287,0.702,14.348,14.202,1.545,0.995
