Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.094,2.69,0.404,2.311,1.934,1.292,0.847
TREFHT land_60S90N CRU,DegC,14.258,12.759,1.499,12.744,13.078,2.249,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.565,-45.306,-2.259,21.941,20.091,10.799,0.877
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.143,25.808,-4.665,11.03,10.952,6.829,0.897
U-850mb global ERA-Interim,m s-1,1.034,1.098,-0.064,5.798,5.399,1.346,0.974
U-200mb global ERA-Interim,m s-1,16.305,15.687,0.619,13.398,12.316,2.547,0.985
Z3-500mb global ERA-Interim,hectometer,56.889,56.618,0.27,2.657,2.575,0.33,0.998
PSL global ERA-Interim,mbar,1011.246,1011.302,-0.055,9.452,8.142,2.19,0.98
PSL global ERA5,mbar,1011.246,1011.39,-0.144,9.452,8.067,2.374,0.976
U-850mb global ERA5,m s-1,1.034,1.082,-0.048,5.798,5.411,1.308,0.975
U-200mb global ERA5,m s-1,16.305,15.655,0.651,13.398,12.247,2.557,0.985
Z3-500mb global ERA5,hectometer,56.889,56.608,0.281,2.657,2.566,0.343,0.998
TREFHT land ERA-Interim,DegC,9.682,8.849,0.832,18.971,18.694,1.856,0.996
TREFHT global ERA-Interim,DegC,15.018,14.411,0.607,13.995,14.114,1.532,0.995
TREFHT land ERA5,DegC,9.682,8.838,0.843,18.971,18.894,2.089,0.995
TREFHT global ERA5,DegC,15.018,14.265,0.752,13.995,14.11,1.619,0.995
