Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.167,2.715,0.452,3.008,2.517,1.673,0.845
TREFHT land_60S90N CRU,DegC,21.509,19.633,1.876,8.436,8.163,2.774,0.972
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.844,-43.227,-2.616,32.097,29.75,14.051,0.903
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.215,25.662,-4.447,14.833,14.264,7.843,0.902
U-850mb global ERA-Interim,m s-1,1.042,1.14,-0.098,6.361,5.816,1.635,0.968
U-200mb global ERA-Interim,m s-1,14.247,12.972,1.275,16.801,16.055,2.956,0.988
Z3-500mb global ERA-Interim,hectometer,57.173,56.891,0.283,2.771,2.614,0.369,0.998
PSL global ERA-Interim,mbar,1011.158,1011.175,-0.017,9.881,8.533,2.243,0.981
PSL global ERA5,mbar,1011.158,1011.257,-0.099,9.881,8.476,2.352,0.979
U-850mb global ERA5,m s-1,1.042,1.147,-0.105,6.361,5.842,1.632,0.968
U-200mb global ERA5,m s-1,14.247,12.915,1.332,16.801,15.989,3.029,0.987
Z3-500mb global ERA5,hectometer,57.173,56.885,0.289,2.771,2.605,0.379,0.998
TREFHT land ERA-Interim,DegC,15.157,14.276,0.881,21.674,20.364,2.777,0.995
TREFHT global ERA-Interim,DegC,16.638,16.114,0.523,14.958,14.296,1.824,0.994
TREFHT land ERA5,DegC,15.157,14.355,0.801,21.674,20.143,3.057,0.993
TREFHT global ERA5,DegC,16.638,16.005,0.632,14.958,14.176,2.017,0.993
