Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.088,2.664,0.425,2.619,2.066,1.741,0.765
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.704,-42.475,-2.229,24.498,21.837,13.981,0.829
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.57,26.07,-4.5,12.923,11.609,9.04,0.801
U-850mb global ERA-Interim,m s-1,0.949,1.01,-0.061,5.92,5.418,1.442,0.972
U-200mb global ERA-Interim,m s-1,17.938,17.09,0.848,13.638,12.063,3.576,0.971
Z3-500mb global ERA-Interim,hectometer,56.842,56.582,0.261,2.722,2.612,0.334,0.998
PSL global ERA-Interim,mbar,1011.316,1011.337,-0.021,9.255,8.029,2.164,0.979
PSL global ERA5,mbar,1011.316,1011.415,-0.099,9.255,7.99,2.301,0.975
U-850mb global ERA5,m s-1,0.949,0.981,-0.032,5.92,5.447,1.432,0.972
U-200mb global ERA5,m s-1,17.938,17.059,0.878,13.638,11.996,3.61,0.971
Z3-500mb global ERA5,hectometer,56.842,56.572,0.27,2.722,2.604,0.345,0.998
TREFHT land ERA-Interim,DegC,8.99,8.568,0.421,21.128,20.255,2.329,0.995
TREFHT global ERA-Interim,DegC,14.867,14.365,0.502,15.209,15.023,1.668,0.995
TREFHT land ERA5,DegC,8.99,8.631,0.358,21.128,20.252,2.543,0.994
TREFHT global ERA5,DegC,14.867,14.241,0.626,15.209,14.914,1.768,0.994
