Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.035,2.685,0.35,2.723,2.214,1.468,0.853
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.994,-46.392,-1.602,28.51,25.682,13.517,0.882
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.938,25.67,-4.732,12.932,12.205,7.78,0.881
U-850mb global ERA-Interim,m s-1,1.196,1.173,0.023,6.09,5.601,1.528,0.969
U-200mb global ERA-Interim,m s-1,16.516,15.732,0.784,14.06,13.147,2.71,0.984
Z3-500mb global ERA-Interim,hectometer,56.865,56.594,0.272,2.809,2.691,0.35,0.998
PSL global ERA-Interim,mbar,1011.19,1011.255,-0.065,10.507,8.892,2.445,0.982
PSL global ERA5,mbar,1011.19,1011.35,-0.16,10.507,8.787,2.63,0.979
U-850mb global ERA5,m s-1,1.196,1.153,0.043,6.09,5.582,1.502,0.971
U-200mb global ERA5,m s-1,16.516,15.697,0.82,14.06,13.063,2.748,0.984
Z3-500mb global ERA5,hectometer,56.865,56.582,0.283,2.809,2.678,0.365,0.998
TREFHT land ERA-Interim,DegC,10.278,9.27,1.008,19.539,18.902,2.234,0.995
TREFHT global ERA-Interim,DegC,15.133,14.455,0.677,14.076,14.165,2.047,0.991
TREFHT land ERA5,DegC,10.278,9.175,1.103,19.539,19.187,2.436,0.994
TREFHT global ERA5,DegC,15.133,14.287,0.846,14.076,14.202,2.117,0.991
