Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.083,2.69,0.393,2.307,1.934,1.254,0.857
TREFHT land_60S90N CRU,DegC,14.041,12.759,1.282,12.906,13.078,2.072,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.474,-45.306,-2.169,21.839,20.091,10.371,0.886
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.183,25.808,-4.625,10.946,10.952,6.693,0.902
U-850mb global ERA-Interim,m s-1,1.023,1.098,-0.075,5.751,5.399,1.248,0.977
U-200mb global ERA-Interim,m s-1,16.532,15.687,0.845,13.203,12.316,2.527,0.985
Z3-500mb global ERA-Interim,hectometer,56.856,56.618,0.238,2.654,2.575,0.293,0.998
PSL global ERA-Interim,mbar,1011.235,1011.302,-0.067,9.343,8.142,2.09,0.981
PSL global ERA5,mbar,1011.235,1011.39,-0.155,9.343,8.067,2.278,0.977
U-850mb global ERA5,m s-1,1.023,1.082,-0.06,5.751,5.411,1.222,0.978
U-200mb global ERA5,m s-1,16.532,15.655,0.878,13.203,12.247,2.529,0.985
Z3-500mb global ERA5,hectometer,56.856,56.608,0.248,2.654,2.566,0.305,0.998
TREFHT land ERA-Interim,DegC,9.483,8.849,0.634,19.031,18.694,1.755,0.996
TREFHT global ERA-Interim,DegC,14.867,14.411,0.457,14.087,14.114,1.368,0.996
TREFHT land ERA5,DegC,9.483,8.838,0.645,19.031,18.894,1.988,0.995
TREFHT global ERA5,DegC,14.867,14.265,0.602,14.087,14.11,1.464,0.996
