Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.078,2.699,0.379,2.89,2.369,1.554,0.854
TREFHT land_60S90N CRU,DegC,5.995,5.096,0.899,19.515,20.093,2.694,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.717,-49.226,-2.491,40.235,36.864,14.271,0.937
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.869,25.831,-4.961,15.368,14.26,8.313,0.901
U-850mb global ERA-Interim,m s-1,0.914,1.068,-0.155,6.26,5.797,1.628,0.967
U-200mb global ERA-Interim,m s-1,16.75,16.981,-0.232,16.584,14.763,3.704,0.979
Z3-500mb global ERA-Interim,hectometer,56.642,56.403,0.24,2.701,2.696,0.315,0.997
PSL global ERA-Interim,mbar,1011.318,1011.442,-0.125,9.917,8.712,2.676,0.967
PSL global ERA5,mbar,1011.318,1011.541,-0.223,9.917,8.595,2.96,0.959
U-850mb global ERA5,m s-1,0.914,1.047,-0.133,6.26,5.828,1.591,0.968
U-200mb global ERA5,m s-1,16.75,16.976,-0.226,16.584,14.671,3.706,0.979
Z3-500mb global ERA5,hectometer,56.642,56.387,0.256,2.701,2.687,0.33,0.997
TREFHT land ERA-Interim,DegC,4.102,3.164,0.938,19.592,20.074,2.806,0.991
TREFHT global ERA-Interim,DegC,13.257,12.67,0.587,15.365,15.887,1.918,0.994
TREFHT land ERA5,DegC,4.102,3.07,1.033,19.592,20.505,3.485,0.987
TREFHT global ERA5,DegC,13.257,12.49,0.767,15.365,15.941,2.195,0.992
