Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.159,2.715,0.444,2.984,2.517,1.684,0.839
TREFHT land_60S90N CRU,DegC,21.208,19.633,1.575,8.527,8.163,2.492,0.976
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.763,-43.227,-2.536,31.955,29.75,13.44,0.911
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.199,25.662,-4.463,14.521,14.264,7.881,0.898
U-850mb global ERA-Interim,m s-1,1.012,1.14,-0.128,6.325,5.816,1.584,0.97
U-200mb global ERA-Interim,m s-1,14.691,12.972,1.719,16.416,16.055,3.213,0.986
Z3-500mb global ERA-Interim,hectometer,57.14,56.891,0.249,2.762,2.614,0.332,0.998
PSL global ERA-Interim,mbar,1011.139,1011.175,-0.036,9.869,8.533,2.364,0.977
PSL global ERA5,mbar,1011.139,1011.257,-0.118,9.869,8.476,2.478,0.975
U-850mb global ERA5,m s-1,1.012,1.147,-0.135,6.325,5.842,1.594,0.969
U-200mb global ERA5,m s-1,14.691,12.915,1.776,16.416,15.989,3.272,0.986
Z3-500mb global ERA5,hectometer,57.14,56.885,0.255,2.762,2.605,0.341,0.998
TREFHT land ERA-Interim,DegC,14.89,14.276,0.614,21.62,20.364,2.625,0.995
TREFHT global ERA-Interim,DegC,16.47,16.114,0.355,14.962,14.296,1.721,0.994
TREFHT land ERA5,DegC,14.89,14.355,0.534,21.62,20.143,2.91,0.993
TREFHT global ERA5,DegC,16.47,16.005,0.464,14.962,14.176,1.898,0.993
