Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.071,2.664,0.407,2.57,2.066,1.633,0.789
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.649,-42.475,-2.175,24.221,21.837,13.362,0.841
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.7,26.07,-4.37,12.837,11.609,8.586,0.822
U-850mb global ERA-Interim,m s-1,0.961,1.01,-0.049,5.848,5.418,1.361,0.974
U-200mb global ERA-Interim,m s-1,17.939,17.09,0.849,13.413,12.063,3.515,0.97
Z3-500mb global ERA-Interim,hectometer,56.808,56.582,0.226,2.711,2.612,0.304,0.998
PSL global ERA-Interim,mbar,1011.305,1011.337,-0.032,9.122,8.029,2.064,0.979
PSL global ERA5,mbar,1011.305,1011.415,-0.11,9.122,7.99,2.207,0.975
U-850mb global ERA5,m s-1,0.961,0.981,-0.02,5.848,5.447,1.363,0.973
U-200mb global ERA5,m s-1,17.939,17.059,0.88,13.413,11.996,3.541,0.97
Z3-500mb global ERA5,hectometer,56.808,56.572,0.236,2.711,2.604,0.315,0.998
TREFHT land ERA-Interim,DegC,8.819,8.568,0.251,21.142,20.255,2.29,0.995
TREFHT global ERA-Interim,DegC,14.735,14.365,0.369,15.248,15.023,1.576,0.995
TREFHT land ERA5,DegC,8.819,8.631,0.188,21.142,20.252,2.513,0.994
TREFHT global ERA5,DegC,14.735,14.241,0.494,15.248,14.914,1.68,0.995
