Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.025,2.685,0.34,2.699,2.214,1.394,0.867
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.865,-46.392,-1.473,28.204,25.682,12.883,0.891
LWCF global ceres_ebaf_toa_v4.1,W m-2,20.956,25.67,-4.714,12.836,12.205,7.584,0.889
U-850mb global ERA-Interim,m s-1,1.203,1.173,0.03,6.027,5.601,1.443,0.972
U-200mb global ERA-Interim,m s-1,16.756,15.732,1.023,13.915,13.147,2.607,0.986
Z3-500mb global ERA-Interim,hectometer,56.829,56.594,0.235,2.808,2.691,0.312,0.998
PSL global ERA-Interim,mbar,1011.177,1011.255,-0.078,10.455,8.892,2.437,0.981
PSL global ERA5,mbar,1011.177,1011.35,-0.172,10.455,8.787,2.621,0.978
U-850mb global ERA5,m s-1,1.203,1.153,0.05,6.027,5.582,1.423,0.973
U-200mb global ERA5,m s-1,16.756,15.697,1.059,13.915,13.063,2.627,0.986
Z3-500mb global ERA5,hectometer,56.829,56.582,0.246,2.808,2.678,0.326,0.998
TREFHT land ERA-Interim,DegC,10.01,9.27,0.74,19.603,18.902,2.055,0.996
TREFHT global ERA-Interim,DegC,14.974,14.455,0.518,14.152,14.165,1.862,0.992
TREFHT land ERA5,DegC,10.01,9.175,0.835,19.603,19.187,2.244,0.994
TREFHT global ERA5,DegC,14.974,14.287,0.687,14.152,14.202,1.927,0.992
