Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.876,2.687,0.19,2.414,1.887,1.391,0.822
TREFHT land_60S90N CRU,DegC,13.408,12.812,0.596,12.991,13.079,2.594,0.981
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.875,0.944,-0.069,54.686,55.958,10.073,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.766,-45.304,-0.461,21.153,20.049,12.05,0.83
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.01,25.815,-0.806,13.118,10.953,6.486,0.872
U-850mb global ERA-Interim,m s-1,1.134,1.096,0.038,5.803,5.401,1.219,0.979
U-200mb global ERA-Interim,m s-1,17.933,15.687,2.246,13.59,12.316,3.473,0.984
Z3-500mb global ERA-Interim,hectometer,56.543,56.618,-0.076,2.746,2.575,0.223,0.999
PSL global ERA-Interim,mbar,1011.291,1011.301,-0.009,8.516,8.141,2.111,0.969
PSL global ERA5,mbar,1011.291,1011.387,-0.095,8.516,8.063,2.017,0.972
U-850mb global ERA5,m s-1,1.134,1.077,0.057,5.803,5.414,1.224,0.979
U-200mb global ERA5,m s-1,17.933,15.655,2.278,13.59,12.247,3.528,0.984
Z3-500mb global ERA5,hectometer,56.543,56.608,-0.065,2.746,2.566,0.226,0.999
TREFHT land ERA-Interim,DegC,8.902,8.92,-0.018,19.025,18.736,2.629,0.991
TREFHT global ERA-Interim,DegC,14.616,14.42,0.196,14.841,14.108,1.92,0.993
TREFHT land ERA5,DegC,8.902,9.011,-0.109,19.025,18.862,2.888,0.988
TREFHT global ERA5,DegC,14.616,14.277,0.339,14.841,14.102,2.112,0.991
