Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.869,2.696,0.172,3.171,2.316,1.919,0.801
TREFHT land_60S90N CRU,DegC,5.609,5.153,0.456,19.514,20.069,3.797,0.982
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.788,7.975,-0.187,95.162,95.904,12.052,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.625,-49.221,-0.404,37.912,36.829,15.812,0.911
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.458,25.831,-1.372,17.404,14.256,8.615,0.874
U-850mb global ERA-Interim,m s-1,0.959,1.067,-0.108,6.533,5.799,1.758,0.966
U-200mb global ERA-Interim,m s-1,18.755,16.982,1.773,16.038,14.763,4.107,0.974
Z3-500mb global ERA-Interim,hectometer,56.323,56.403,-0.08,2.876,2.695,0.273,0.998
PSL global ERA-Interim,mbar,1011.559,1011.443,0.116,9.398,8.712,2.347,0.969
PSL global ERA5,mbar,1011.559,1011.541,0.018,9.398,8.593,2.331,0.97
U-850mb global ERA5,m s-1,0.959,1.044,-0.085,6.533,5.829,1.763,0.966
U-200mb global ERA5,m s-1,18.755,16.976,1.779,16.038,14.671,4.118,0.975
Z3-500mb global ERA5,hectometer,56.323,56.387,-0.064,2.876,2.687,0.272,0.998
TREFHT land ERA-Interim,DegC,3.109,3.26,-0.151,20.344,20.084,3.355,0.987
TREFHT global ERA-Interim,DegC,12.859,12.676,0.184,16.588,15.882,2.363,0.99
TREFHT land ERA5,DegC,3.109,3.252,-0.143,20.344,20.453,3.498,0.985
TREFHT global ERA5,DegC,12.859,12.499,0.36,16.588,15.918,2.529,0.989
