Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.961,2.709,0.252,3.128,2.431,1.875,0.805
TREFHT land_60S90N CRU,DegC,20.665,19.682,0.983,8.686,8.169,2.651,0.959
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.002,-7.501,-0.501,87.527,86.633,13.953,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.607,-43.239,-1.368,30.553,29.722,16.782,0.846
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.085,25.669,-0.584,17.778,14.267,9.813,0.835
U-850mb global ERA-Interim,m s-1,1.221,1.137,0.085,6.108,5.818,1.699,0.961
U-200mb global ERA-Interim,m s-1,15.376,12.973,2.404,16.524,16.055,4.329,0.976
Z3-500mb global ERA-Interim,hectometer,56.815,56.891,-0.075,2.761,2.614,0.243,0.998
PSL global ERA-Interim,mbar,1010.925,1011.173,-0.248,8.998,8.534,3.056,0.941
PSL global ERA5,mbar,1010.925,1011.251,-0.326,8.998,8.479,3.011,0.943
U-850mb global ERA5,m s-1,1.221,1.138,0.083,6.108,5.844,1.732,0.959
U-200mb global ERA5,m s-1,15.376,12.916,2.46,16.524,15.989,4.415,0.975
Z3-500mb global ERA5,hectometer,56.815,56.885,-0.07,2.761,2.605,0.248,0.998
TREFHT land ERA-Interim,DegC,14.728,14.321,0.407,20.615,20.431,2.645,0.992
TREFHT global ERA-Interim,DegC,16.392,16.127,0.266,15.051,14.294,2.024,0.992
TREFHT land ERA5,DegC,14.728,14.498,0.23,20.615,20.132,3.024,0.989
TREFHT global ERA5,DegC,16.392,16.017,0.375,15.051,14.184,2.237,0.99
