Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.018,2.69,0.328,2.055,1.934,1.169,0.844
TREFHT land_60S90N CRU,DegC,12.316,12.883,-0.567,12.702,13.1,2.103,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.287,0.927,-0.64,54.517,56.014,9.503,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.977,-45.309,-2.668,21.136,20.241,11.139,0.864
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.339,25.813,-1.473,10.388,11.0,5.606,0.874
U-850mb global ERA-Interim,m s-1,1.241,1.097,0.144,6.263,5.4,1.413,0.981
U-200mb global ERA-Interim,m s-1,16.238,15.687,0.552,11.784,12.316,2.342,0.983
Z3-500mb global ERA-Interim,hectometer,56.44,56.618,-0.179,2.719,2.575,0.281,0.998
PSL global ERA-Interim,mbar,1011.244,1011.301,-0.057,10.381,8.142,2.968,0.978
PSL global ERA5,mbar,1011.244,1011.389,-0.144,10.381,8.067,3.113,0.974
U-850mb global ERA5,m s-1,1.241,1.081,0.16,6.263,5.412,1.439,0.979
U-200mb global ERA5,m s-1,16.238,15.654,0.584,11.784,12.247,2.32,0.983
Z3-500mb global ERA5,hectometer,56.44,56.608,-0.168,2.719,2.566,0.277,0.998
TREFHT land ERA-Interim,DegC,8.083,8.858,-0.775,18.278,18.678,2.218,0.994
TREFHT global ERA-Interim,DegC,13.994,14.411,-0.417,13.869,14.115,1.722,0.993
TREFHT land ERA5,DegC,8.083,8.905,-0.822,18.278,18.833,2.419,0.993
TREFHT global ERA5,DegC,13.994,14.267,-0.273,13.869,14.112,1.748,0.993
