Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.025,2.699,0.325,2.728,2.369,1.379,0.871
TREFHT land_60S90N CRU,DegC,5.101,5.46,-0.359,18.67,20.005,3.556,0.985
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.149,7.946,0.203,97.559,95.935,12.672,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.047,-49.227,-1.82,37.128,36.987,13.019,0.939
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.718,25.835,-2.116,14.124,14.322,6.662,0.901
U-850mb global ERA-Interim,m s-1,1.14,1.068,0.071,6.76,5.798,1.606,0.978
U-200mb global ERA-Interim,m s-1,16.653,16.981,-0.328,15.332,14.764,3.316,0.977
Z3-500mb global ERA-Interim,hectometer,56.223,56.403,-0.179,2.787,2.696,0.297,0.997
PSL global ERA-Interim,mbar,1011.445,1011.442,0.003,10.584,8.712,2.671,0.98
PSL global ERA5,mbar,1011.445,1011.539,-0.094,10.584,8.595,2.84,0.977
U-850mb global ERA5,m s-1,1.14,1.046,0.094,6.76,5.828,1.622,0.976
U-200mb global ERA5,m s-1,16.653,16.976,-0.323,15.332,14.671,3.274,0.977
Z3-500mb global ERA5,hectometer,56.223,56.387,-0.163,2.787,2.687,0.291,0.997
TREFHT land ERA-Interim,DegC,3.082,3.18,-0.098,19.071,20.08,3.086,0.989
TREFHT global ERA-Interim,DegC,12.43,12.671,-0.241,15.462,15.886,2.167,0.991
TREFHT land ERA5,DegC,3.082,3.176,-0.094,19.071,20.478,3.5,0.987
TREFHT global ERA5,DegC,12.43,12.492,-0.062,15.462,15.943,2.339,0.989
